路線,路段,速限
國道1號,大安溪橋(北向155K處、南向155K+600處)以北,100
國道1號,大安溪橋(北向155K處、南向155K+600處)至楠梓交流道(356K),110
國道1號,楠梓交流道(356K)以南,100
國道1號,五甲交流道(371K)以南,80
國道1號,漁港路(373K)以南,60
國道2號,大園交流道(1K)以西,80
國道2號,大園交流道(1K)以東,100
國道2甲,全線,80
國道3號,中和交流道(35K)以北,90
國道3號,中和交流道(35K)至土城交流道(43K),100
國道3號,土城交流道(43K)以南,110
國道3甲,全線(西向4K+200~3K+800最高速限降為70公里/小時),80
國道4號,全線,100
國道5號,坪林(15K)以北,80
國道5號,坪林(15K)以南,90
國道6號,全線,100
國道8號,南133區道(4K)以西,80
國道8號,南133區道(4K)以東,100
國道10號,仁武交流道(6K)以西,80
國道10號,仁武交流道(6K)以東,100
註1：施工區等特殊路段與一般路段不同，行車時請依速限標誌指示行駛。,,
註2：一般車輛速限每小時100及110公里路段，總重(行照核定總重量)20公噸以上大貨車之速限90公里。,,
註3：國道末端速限採遞減處理，請依現場標誌規定行駛。,,
