公路名稱,路段,速限,備註
台61線西部濱海快速公路,八里交流道 - 林口高架橋南端12k+600 - 19k+800,90,0k+000~12k+600為原規劃路線與目前路線之樁號差距，俟後續再統一調整台61線全線之里程樁號
台61線西部濱海快速公路,林口高架橋南端 - 海湖19k+800 - 23k+600,70,平交路口及平面匯入匯出點，且重車行駛多
台61線西部濱海快速公路,海湖 - 新豐23k+600 - 64k+005,90,
台61線西部濱海快速公路,新豐~竹北64k+005~69k+600,30,僅通行側車道，不屬快速公路路段
台61線西部濱海快速公路,竹北 - 鳳鼻隧道南端69k+600 - 70k+830,70,允許機車通行，不屬快速公路路段
台61線西部濱海快速公路,鳳鼻隧道南端 - 鳳山溪橋70k+830 - 72k+500,70,銜接北端速限70km/hr及南端市區道路速限50km/hr，且與台15線共線，多平面相交路口
台61線西部濱海快速公路,鳳山溪橋 - 香山浸水橋南側72k+500 - 76k+000,-,尚未通車
台61線西部濱海快速公路,香山浸水橋南側 - 苗栗白沙屯76k+000 - 112k+000,80,多平面相交路口
台61線西部濱海快速公路,苗栗白沙屯 - 大甲溪橋北端112k+000 - 144k+100,90, 
台61線西部濱海快速公路,大甲溪橋 - 中彰大橋144k+100-163k+558,80,設計速率為80km/hr
台61線西部濱海快速公路,中彰大橋南端 - 芳苑交流道163k+558 - 197k+079,90,
台61線西部濱海快速公路,芳苑交流道 - 大城交流道197k+079 - 208k+400,-,尚未通車
台61線西部濱海快速公路,大城交流道 - 十份交流道208k+400 - 305k+750,90,
台61甲線西部濱海快速公路支線,台北港端 - 八里交流道0k+000 - 2k+400,80,
台62線東西向快速公路萬里瑞濱線,安樂端 - 瑞濱端0k+000 - 18k+760,80,設計速率為80km/hr
台62甲線快速公路基隆瑞芳線,基隆端 - 四腳亭交流道0k+000 - 5k+622,60,設計速率為60km/hr
台64線東西向快速公路八里新店線,台北港端 - 重翠橋0k+000 - 14k+500,80,速限經新北市政府邀集相關單位開會決議
台64線東西向快速公路八里新店線,重翠橋 - 新店端14k+500 - 28k+668,直線段：70、彎道段：60,速限經新北市政府邀集相關單位開會決議
台65線快速公路五股土城線,五股端 - 跨土城新興橋0k+000 - 9k+100,80,
台65線快速公路五股土城線,跨土城新興橋 - 土城交流道9k+100 - 12k+320,60,
台66線東西向快速公路觀音大溪線,觀音交流道 - 桃102鄉道0k+000 - 15k+500,80,多平面相交路口
台66線東西向快速公路觀音大溪線,桃102鄉道 - 大溪端15k+500 - 27k+205,90,
台68線東西向快速公路南寮竹東線,南寮端 - 新中正橋交流道1k+000 - 16k+800,90,
台68線東西向快速公路南寮竹東線,新中正橋交流道 - 竹東端16k+800 - 23k+541,70,高架橋設計速率70 km/hr
台72線東西向快速公路後龍汶水線,後龍端(台1外環線) - 中興2k+410 - 20k+800,90,
台72線東西向快速公路後龍汶水線,中興 - 獅潭端20k+800 - 31k+042,80,多平面相交路口
台74線東西向快速公路快官霧峰線,快官交流道 - 霧峰交流道0k+000 - 39k+235,80,
台76線東西向快速公路漢寶草屯線,漢寶 - 埔鹽交流道0k+000 - 11k+400,-,尚未通車
台76線東西向快速公路漢寶草屯線,埔鹽交流道 - 林厝11k+400 - 27k+000,90,
台76線東西向快速公路漢寶草屯線,林厝 - 中興系統交流道27k+000 - 32k+600,80,八卦山長隧道路段
台78線東西向快速公路台西古坑線,台西交流道 - 古坑系統交流道0k+000 - 43k+520,100,(總重20噸以上大貨車：90)
台82線東西向快速公路東石嘉義線,東石 - 朴子0k+525 - 8k+080,70,允許機車通行，不屬快速公路路段
台82線東西向快速公路東石嘉義線,朴子 - 水上系統交流道8k+080 - 34k+740,100,(總重20噸以上大貨車：90)
台84線東西向快速公路北門玉井線,北門交流道 - 頭社交流道0k+000 - 32k+487,100,(總重20噸以上大貨車：90)
台84線東西向快速公路北門玉井線,頭社交流道 - 走馬瀨32k+487 - 37k+800,90,
台84線東西向快速公路北門玉井線,走馬瀨 - 玉井端37k+800 - 41k+780,70,快車道與慢車道以標線分隔，不屬快速公路路段
台86線東西向快速公路台南關廟線,台南端 - 關廟0k+000 - 17k+900,90,
台86線東西向快速公路台南關廟線,關廟 - 台19甲線17k+900 - 18k+900,70,汽、機車混合行駛，不屬快速公路路段
台88線東西向快速公路高雄潮州線,五甲系統交流道 - 竹田端0k+000 - 22k+500,90,0k+000~0k+500為高速公路局養護路段
