站代號,類別,站名,縣市,鄉鎮區,地址,電話,服務中心,營業中,國道高速公路,無鉛92,無鉛95,無鉛98,酒精汽油,煤油,超柴,會員卡,刷卡自助,自助柴油站,電子發票,悠遊卡,一卡通,HappyCash,經度,緯度,營業時間,洗車類別,etag申裝儲值時間,保養間時間
AA6212A03,加盟站,台東,台東縣,台東市,豐谷里15鄰中華路二段515號,(089)343542,D611C,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,121.131802,22.741134,06:30-22:30,"
    ","
    ","
    "
AA6212A06,加盟站,台糖中興,台東縣,台東市,豐年里1鄰中興路二段717號,(089)233735,D611C,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,121.121174,22.768814,07:00-22:00,"
    ","
    ","
    "
AA6212A08,加盟站,山海關,台東縣,達仁鄉,安朔村11鄰復興路37號,(089)702727,D611C,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,120.886886,22.294666,06:30-21:30,"
    ","
    ","
    "
AA6212A09,加盟站,全滿,台東縣,成功鎮,三民里1鄰大同路2號,(089)853789,D611C,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,121.367785,23.100533,06:00-22:00,"
    ","
    ","
    "
AA6212A10,加盟站,荒野,台東縣,太麻里鄉,美和村8鄰荒野2-2號,(089)514447,D611C,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,121.046813,22.691124,07:00-21:00,"
    ","
    ","
    "
AA6212A13,加盟站,豐盛,台東縣,台東市,豐田里4鄰中興路5段335號,(089)383393,D611C,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,121.076906,22.771687,06:30-22:30,"
    ","
    ","
    "
AA6212A14,加盟站,萬年,台東縣,卑南鄉,賓朗村17鄰賓朗路321號1F,(089)228244,D611C,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,121.093729,22.801998,07:00-21:00,"
    ","
    ","
    "
AA6212A15,加盟站,三仙台,台東縣,成功鎮,三仙里5鄰芝田路186-1號,(089)853851,D611C,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,121.388342,23.114569,06:00-22:00,"
    ","
    ","
    "
AA6212A16,加盟站,永利,台東縣,東河鄉,都蘭村17鄰都蘭41-2號,(089)531382,D611C,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,121.225553,22.87074,07:00-20:30,"
    ","
    ","
    "
AA6212A17,加盟站,富岡,台東縣,台東市,富岡里1鄰吉林路二段101號,(089)280382,D611C,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,121.177029,22.778749,00:00-24:00,"
    ","
    ","
    "
AA6212A19,加盟站,長馨,台東縣,長濱鄉,長濱村11鄰長濱271號,(089)832961,D611C,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,121.459161,23.323929,06:00-22:00,"
    ","
    ","
    "
AA6212A21,加盟站,台糖中興二,台東縣,台東市,豐里里17鄰臨海路三段431號,(089)358360,D611C,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,121.11899,22.727865,07:00-21:00,"
    ","
    ","
    "
AA6212A24,加盟站,北基日盛,台東縣,台東市,鐵花里4鄰新生路76號,(089)331671,D611C,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,121.149405,22.751844,00:00-24:00,"
    ","
    ","
    "
AA6212A27,加盟站,興盛,台東縣,成功鎮,信義里2鄰隧道路68之3號,(089)896381,D611C,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,121.312104,22.98768,06:00-21:00,"
    ","
    ","
    "
AA6212A28,加盟站,主成,台東縣,太麻里鄉,美和村6鄰美和路86之31號,(089)515915,D611C,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,121.048441,22.693237,06:00-22:00,"
    ","
    ","
    "
AA6212A29,加盟站,海端,台東縣,海端鄉,海端村2鄰山平路52號,(089)931721,D611C,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,121.176075,23.096699,06:00-19:00,"
    ","
    ","
    "
AA6212A30,加盟站,特新,台東縣,卑南鄉,賓朗村28鄰賓朗路612號,(089)239880,D611C,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,121.089475,22.81266,06:30-22:30,"
    ","
    ","
    "
